"R_no","r_worksers","p_workers","test_results","c_r_all","f1_score","tr_acc"
1,"[0]","[]",0,0,0,"[85.8]"
2,"[0]","[]",0,0,0,"[90.95]"
3,"[0]","[]",0,0,0,"[92.35]"
4,"[0]","[]",0,0,0,"[93.17]"
5,"[0]","[]",0,0,0,"[93.8]"
6,"[0]","[]",0,0,0,"[94.29]"
7,"[0]","[]",0,0,0,"[94.75]"
8,"[0]","[]",0,0,0,"[95.24]"
9,"[0]","[]",0,0,0,"[95.62]"
10,"[0]","[]",0,0,0,"[95.93]"
11,"[0]","[]",0,0,0,"[96.16]"
12,"[0]","[]",0,0,0,"[96.56]"
13,"[0]","[]",0,0,0,"[96.67]"
14,"[0]","[]",0,0,0,"[97.01]"
15,"[0]","[]",0,0,0,"[97.22]"
16,"[0]","[]",0,0,0,"[97.4]"
17,"[0]","[]",0,0,0,"[97.54]"
18,"[0]","[]",0,0,0,"[97.72]"
19,"[0]","[]",0,0,0,"[97.79]"
20,"[0]","[]",0,0,0,"[98.08]"
21,"[0]","[]",0,0,0,"[98.1]"
22,"[0]","[]",0,0,0,"[98.24]"
23,"[0]","[]",0,0,0,"[98.37]"
24,"[0]","[]",0,0,0,"[98.54]"
25,"[0]","[]",0,0,0,"[98.43]"
26,"[0]","[]",0,0,0,"[99.37]"
27,"[0]","[]",0,0,0,"[99.74]"
28,"[0]","[]",0,0,0,"[99.77]"
29,"[0]","[]",0,0,0,"[99.82]"
30,"[0]","[]",0,0,0,"[99.86]"
31,"[0]","[]",0,0,0,"[99.86]"
32,"[0]","[]",0,0,0,"[99.92]"
33,"[0]","[]",0,0,0,"[99.93]"
34,"[0]","[]",0,0,0,"[99.91]"
35,"[0]","[]",0,0,0,"[99.91]"
36,"[0]","[]",0,0,0,"[99.94]"
37,"[0]","[]",0,0,0,"[99.95]"
38,"[0]","[]",0,0,0,"[99.94]"
39,"[0]","[]",0,0,0,"[99.98]"
40,"[0]","[]",0,0,0,"[99.95]"
41,"[0]","[]",0,0,0,"[99.96]"
42,"[0]","[]",0,0,0,"[99.97]"
43,"[0]","[]",0,0,0,"[99.98]"
44,"[0]","[]",0,0,0,"[99.96]"
45,"[0]","[]",0,0,0,"[99.97]"
46,"[0]","[]",0,0,0,"[99.98]"
47,"[0]","[]",0,0,0,"[99.98]"
48,"[0]","[]",0,0,0,"[99.98]"
49,"[0]","[]",0,0,0,"[99.98]"
50,"[0]","[]",0,0,0,"[99.98]"
51,"[0]","[]",0,0,0,"[99.99]"
52,"[0]","[]",0,0,0,"[100.0]"
53,"[0]","[]",0,0,0,"[100.0]"
54,"[0]","[]",0,0,0,"[100.0]"
55,"[0]","[]",0,0,0,"[100.0]"
56,"[0]","[]",0,0,0,"[99.99]"
57,"[0]","[]",0,0,0,"[100.0]"
58,"[0]","[]",0,0,0,"[100.0]"
59,"[0]","[]",0,0,0,"[100.0]"
60,"[0]","[]",0,0,0,"[100.0]"
61,"[0]","[]",0,0,0,"[100.0]"
62,"[0]","[]",0,0,0,"[100.0]"
63,"[0]","[]",0,0,0,"[100.0]"
64,"[0]","[]",0,0,0,"[100.0]"
65,"[0]","[]",0,0,0,"[100.0]"
66,"[0]","[]",0,0,0,"[99.99]"
67,"[0]","[]",0,0,0,"[100.0]"
68,"[0]","[]",0,0,0,"[100.0]"
69,"[0]","[]",0,0,0,"[100.0]"
70,"[0]","[]",0,0,0,"[100.0]"
71,"[0]","[]",0,0,0,"[99.99]"
72,"[0]","[]",0,0,0,"[100.0]"
73,"[0]","[]",0,0,0,"[99.99]"
74,"[0]","[]",0,0,0,"[100.0]"
75,"[0]","[]",0,0,0,"[100.0]"
76,"[0]","[]",0,0,0,"[100.0]"
77,"[0]","[]",0,0,0,"[100.0]"
78,"[0]","[]",0,0,0,"[100.0]"
79,"[0]","[]",0,0,0,"[100.0]"
80,"[0]","[]",0,0,0,"[100.0]"
81,"[0]","[]",0,0,0,"[100.0]"
82,"[0]","[]",0,0,0,"[100.0]"
83,"[0]","[]",0,0,0,"[100.0]"
84,"[0]","[]",0,0,0,"[100.0]"
85,"[0]","[]",0,0,0,"[100.0]"
86,"[0]","[]",0,0,0,"[100.0]"
87,"[0]","[]",0,0,0,"[100.0]"
88,"[0]","[]",0,0,0,"[100.0]"
89,"[0]","[]",0,0,0,"[100.0]"
90,"[0]","[]",0,0,0,"[100.0]"
91,"[0]","[]",0,0,0,"[100.0]"
92,"[0]","[]",0,0,0,"[100.0]"
93,"[0]","[]",0,0,0,"[100.0]"
94,"[0]","[]",0,0,0,"[100.0]"
95,"[0]","[]",0,0,0,"[100.0]"
96,"[0]","[]",0,0,0,"[100.0]"
97,"[0]","[]",0,0,0,"[100.0]"
98,"[0]","[]",0,0,0,"[100.0]"
99,"[0]","[]",0,0,0,"[100.0]"
100,"[0]","[]",0,0,0,"[100.0]"
101,"[0]","[]",0,0,0,"[100.0]"
102,"[0]","[]",0,0,0,"[100.0]"
103,"[0]","[]",0,0,0,"[100.0]"
104,"[0]","[]",0,0,0,"[100.0]"
105,"[0]","[]",0,0,0,"[100.0]"
106,"[0]","[]",0,0,0,"[100.0]"
107,"[0]","[]",0,0,0,"[100.0]"
108,"[0]","[]",0,0,0,"[100.0]"
109,"[0]","[]",0,0,0,"[100.0]"
110,"[0]","[]",0,0,0,"[100.0]"
111,"[0]","[]",0,0,0,"[100.0]"
112,"[0]","[]",0,0,0,"[100.0]"
113,"[0]","[]",0,0,0,"[100.0]"
114,"[0]","[]",0,0,0,"[100.0]"
115,"[0]","[]",0,0,0,"[100.0]"
116,"[0]","[]",0,0,0,"[100.0]"
117,"[0]","[]",0,0,0,"[100.0]"
118,"[0]","[]",0,0,0,"[100.0]"
119,"[0]","[]",0,0,0,"[100.0]"
120,"[0]","[]",0,0,0,"[100.0]"
121,"[0]","[]",0,0,0,"[100.0]"
122,"[0]","[]",0,0,0,"[100.0]"
123,"[0]","[]",0,0,0,"[100.0]"
124,"[0]","[]",0,0,0,"[100.0]"
125,"[0]","[]",0,0,0,"[100.0]"
126,"[0]","[]",0,0,0,"[100.0]"
127,"[0]","[]",0,0,0,"[100.0]"
128,"[0]","[]",0,0,0,"[100.0]"
129,"[0]","[]",0,0,0,"[100.0]"
130,"[0]","[]",0,0,0,"[100.0]"
131,"[0]","[]",0,0,0,"[100.0]"
132,"[0]","[]",0,0,0,"[100.0]"
133,"[0]","[]",0,0,0,"[100.0]"
134,"[0]","[]",0,0,0,"[100.0]"
135,"[0]","[]",0,0,0,"[100.0]"
136,"[0]","[]",0,0,0,"[100.0]"
137,"[0]","[]",0,0,0,"[100.0]"
138,"[0]","[]",0,0,0,"[100.0]"
139,"[0]","[]",0,0,0,"[100.0]"
140,"[0]","[]",0,0,0,"[99.99]"
141,"[0]","[]",0,0,0,"[100.0]"
142,"[0]","[]",0,0,0,"[100.0]"
143,"[0]","[]",0,0,0,"[100.0]"
144,"[0]","[]",0,0,0,"[100.0]"
145,"[0]","[]",0,0,0,"[100.0]"
146,"[0]","[]",0,0,0,"[100.0]"
147,"[0]","[]",0,0,0,"[100.0]"
148,"[0]","[]",0,0,0,"[100.0]"
149,"[0]","[]",0,0,0,"[100.0]"
150,"[0]","[]",90.72,90.7,90.8,"[100.0]"
